local_path	review_status	relevance	thesis_use	target_cards	notes_pages
input/publications-francois-pachet/pachet-99-Casys.pdf	couverture_argumentaire_complete	fort	Attentes apprises et surprise reconstructible plutôt qu'inattendu brut	idea_0019	PDF p. 1-3, 9-14, 18-19
input/publications-francois-pachet/pachet-99a.pdf	couverture_argumentaire_complete	moyen à fort	Parcours d'écoute, invariants sémantiques et propriétés globales des programmes	idea_0014; idea_0102; idea_0105	PDF p. 2-8, 9-15
input/publications-francois-pachet/pachet-06c-1.pdf	couverture_propositionnelle_complete	fort	Programme objectiviste de la mélodie intéressante repris et corrigé par le modèle relationnel	idea_0096; idea_0098; idea_0146	PDF p. 1-9
input/publications-francois-pachet/pachet-04-designflowmachines.pdf	couverture_argumentaire_complete	fort	Attention, flow, miroir dynamique et temporalité de l'interaction intéressante	idea_0006; idea_0121; idea_0137	PDF p. 7-18, conclusion p. 19
input/publications-francois-pachet/pachet-04f.pdf	couverture_argumentaire_complete	fort méthodologique	Exemples nourriciers, usages situés et résistance du réel dans la fécondité des modèles	idea_0110	PDF p. 4-8, 27-28
input/publications-francois-pachet/Pachet-06-Creativity_Studies.pdf	couverture_argumentaire_complete	fort	Définition subjective et située du nouveau et de l'intéressant ; unité d'analyse formée par le couple humain-machine	idea_0006; idea_0125; idea_0147	PDF p. 1-6, 7-9
input/publications-francois-pachet/pachet-06-Enhancing_Individual_Creativity.pdf	couverture_argumentaire_complete	fort	Miroir réflexif, déplacement de l'attention vers le sujet, échafaudage de complexité et intérêt soutenu	idea_0006; idea_0007; idea_0137; idea_0147	PDF p. 1-6, 8-14
input/publications-francois-pachet/pachet-02-icmai-final.pdf	couverture_argumentaire_complete	moyen à fort	Effet Aha, contrôle intime et conservation par l'utilisateur des régions jugées intéressantes	idea_0006; idea_0137	PDF p. 1-8
input/publications-francois-pachet/martin-16a.pdf	couverture_argumentaire_complete	fort	Dissociation entre jugement propre et consensus ; préférences indexées par l'expérience des juges ; effet sélectif du feedback	idea_0046; idea_0084; idea_0148	PDF p. 3-16
input/publications-francois-pachet/jones-09a.pdf	couverture_argumentaire_complete	moyen à fort	Niveau optimal de distorsion, indétermination productive et feedback continu comme moteur d'exploration	idea_0006; idea_0121	PDF p. 1-4, 7-9
input/publications-francois-pachet/pachet-04j.pdf	couverture_argumentaire_complete	fort	États non linéaires de l'engagement, temps morts de réajustement, règles implicites et réemploi créatif de l'erreur	idea_0006; idea_0011; idea_0137; idea_0147; idea_0149	PDF p. 8-23, conclusion p. 24
input/publications-francois-pachet/pachet-04-When.pdf	couverture_argumentaire_complete	moyen à fort	Précurseur des expériences systématiques : attention, tour de rôle, flow et déplacement du produit vers la découverte de soi	idea_0006; idea_0121; idea_0147	PDF p. 8-18
input/publications-francois-pachet/pachet-03g.pdf	couverture_argumentaire_complete	fort conceptuel	Objectif explicite de produire des interactions intéressantes plutôt qu'un matériau seulement cohérent	idea_0006; idea_0147	PDF p. 4-5
input/publications-francois-pachet/pachet-06a.pdf	couverture_argumentaire_complete	fort conceptuel	Le système « marrant » comme activité autotélique ; primat de la qualité de l'interaction sur son produit	idea_0006; idea_0147	PDF p. 1-2, 6-12
input/publications-francois-pachet/addessi-06c.pdf	couverture_argumentaire_complete	moyen méthodologique	Grille de neuf variables de flow, comparaison avec/sans système et alternance d'états affectifs observés	idea_0011; idea_0121; idea_0149	PDF p. 3-7
input/publications-francois-pachet/addessi-06a.pdf	comparaison_complete	contexte	Étude de pratique en classe sur 18 enfants ; confirme autonomie, règles implicites et attention conjointe sans résultat distinct de la grappe	idea_0006; idea_0147	PDF p. 3-10 ; même communication que addessi-06b
input/publications-francois-pachet/addessi-06b.pdf	comparaison_complete	contexte redondant	Version éditoriale de Without Touch, Without Seeing, substantiellement identique à addessi-06a	idea_0006; idea_0147	PDF p. 1-10 ; doublon textuel non binaire de addessi-06a
input/publications-francois-pachet/pachet-09c.pdf	couverture_argumentaire_complete	fort scientifique	Pilotage global d'un modèle stylistique, exploration de solutions très improbables et articulation sampling-contraintes	idea_0096; idea_0109	PDF p. 1-8, 21-23
input/publications-francois-pachet/ghedini-15b.pdf	couverture_argumentaire_complete	fort conceptuel	Style comme texture, contrainte comme structure, développement diachronique du style et sélection par l'utilisateur des objets intéressants	idea_0054; idea_0080; idea_0109	PDF p. 6-15
input/publications-francois-pachet/roy-16b.pdf	couverture_argumentaire_complete	moyen à fort	Composition assistée sous contraintes ; absence de direction à longue portée ; sortie nouvelle, valide et stylistique néanmoins moins intéressante	idea_0016; idea_0098; idea_0109	PDF p. 1-8, 10-15
input/publications-francois-pachet/max_order.pdf	couverture_argumentaire_complete	fort scientifique	La nouveauté statistique ne garantit pas l'absence de longs fragments copiés ; no-goods et échantillonnage exact sous MAXORDER	idea_0017; idea_0054; idea_0080; idea_0150	PDF p. 1-4, 8-18
input/publications-francois-pachet/papadopoulos-14a.pdf	couverture_argumentaire_complete	moyen précurseur	Première formulation de MAXORDER : l'ordre de Markov borne l'apprentissage mais non la longueur recopiée à la génération	idea_0054; idea_0150	PDF p. 1-3, 6-7
input/publications-francois-pachet/pachet-17d.pdf	couverture_argumentaire_complete	fort	Répétitions et variations explicites donnent direction et intention apparente, mais la structure empruntée relève du templagiarism	idea_0016; idea_0080	PDF p. 1-2, 4-7
input/publications-francois-pachet/barbieri-12a.pdf	couverture_argumentaire_complete	moyen à fort	Le couplage entre modèle stylistique et contraintes globales surpasse Markov pur et contraintes pures ; sélection humaine dans la réécriture de Yesterday	idea_0080; idea_0109	PDF p. 1-6
input/publications-francois-pachet/pachet-99m.pdf	couverture_argumentaire_complete	fort, généalogique et formel	Compromis explicite entre répétition et surprise ; continuité par similarité et variété par différence et cardinalité à l'échelle de la séquence	idea_0014; idea_0103; idea_0151	PDF p. 2, 4-5, 8, 13-14
input/publications-francois-pachet/Pachet-08-Stiegler.pdf	couverture_argumentaire_complete	fort réflexif	Objets intéressants comme effets secondaires d'une interaction réflexive ; distinction entre imitation immédiate et intérêt rétrospectif	idea_0006; idea_0007; idea_0147	PDF p. 2-5, 9-15
input/publications-francois-pachet/pachet-08a.pdf	comparaison_complete	contexte redondant	Version anglaise développée du même argument réflexif que Des machines à sortir de soi	idea_0006; idea_0007; idea_0147	PDF p. 1-5, 9-19 ; variante éditoriale rattachée à pachet2008machines
input/publications-francois-pachet/pachet-10b.pdf	comparaison_complete	contexte redondant	Version anglaise substantiellement identique à pachet-08a et redondante avec le chapitre français canonique	idea_0006; idea_0007; idea_0147	PDF p. 1-5, 9-19 ; variante éditoriale rattachée à pachet2008machines
input/publications-francois-pachet/pachet-08c.pdf	couverture_argumentaire_complete	fort résultat négatif	Échec de traits audio et humains à prédire la popularité au-delà du hasard malgré l'apprentissage d'autres catégories subjectives	idea_0013; idea_0069	PDF p. 1-6
input/publications-francois-pachet/pachet-11a.pdf	couverture_argumentaire_complete	fort synthèse relationnelle	Popularité produite par exposition et influence sociale ; discussion de la préférence pour la virtuosité artificielle chez les canaris	idea_0013; idea_0053; idea_0070; idea_0078	PDF p. 7-18, 20-21
input/publications-francois-pachet/pachet-02g.pdf	couverture_argumentaire_complete	fort généalogique et conceptuel	Une mesure valide peut rester triviale ; l'intéressant apparaît dans la contradiction entre dimensions de similarité	idea_0106; idea_0128; idea_0151; idea_0152	PDF p. 1-7
input/publications-francois-pachet/lerch-10a.pdf	couverture_argumentaire_complete	moyen à fort méthodologique	La contingence d'une interaction vocale accroît les appels par rapport au playback ; cas distinct de la virtuosité des trilles	idea_0011; idea_0070	PDF p. 3-10
input/publications-francois-pachet/pachet12b.pdf	couverture_argumentaire_complete	fort, généalogique et constructif	Partition intentionnelle au niveau du temps, texture markovienne déléguée, transformations et ennui markovien ; antécédent scientifique de la difficultuosité	idea_0010; idea_0078; idea_0109; idea_0122; idea_0154	PDF p. 3-7, 13-14, 25-33
input/publications-francois-pachet/mili-95a-Regularity_Document_Generation_and_Cyc.pdf	couverture_argumentaire_complete	fort, généalogique et formel	L'intéressant opérationnel se situe entre régularité tautologique et irrégularité arbitraire : une déviation structurée par les règles révèle une propriété ou un concept manquant	idea_0005; idea_0027; idea_0103; idea_0110; idea_0128; idea_0153	PDF p. 27-30
input/publications-francois-pachet/pachet-RegularityCyc.pdf	comparaison_complete	contexte redondant, formulation concentrée	Version courte et ciblée du même argument sur les trois régimes de régularité et la sélection des éléments à textualiser dans une trace de preuve	idea_0153	PDF p. 1-2, 9-11
