acceleration	accélération
accelerer	accélérer
acces	accès
accessibilite	accessibilité
achevee	achevée
activite	activité
adaptee	adaptée
adaptees	adaptées
adequation	adéquation
agreger	agréger
aimees	aimées
ajoutee	ajoutée
ajustees	ajustées
aleatoire	aléatoire
alteration	altération
altererait	altérerait
alterite	altérité
ambigue	ambiguë
ambiguite	ambiguïté
amelioration	amélioration
ameliorer	améliorer
annees	années
antecedente	antécédente
anterieur	antérieur
anterieure	antérieure
anterieurs	antérieurs
anticipee	anticipée
applicabilite	applicabilité
apprehende	appréhende
appuyee	appuyée
apres	après
arrete	arrête
arreter	arrêter
arriere	arrière
arriere-plan	arriéré-plan
associee	associée
attribuee	attribuée
au-dela	au-delà
auto-evanescence	auto-évanescence
auto-evanouir	auto-évanouir
auto-similarite	auto-similarité
banalite	banalité
barthelemy	Barthelemy
beatles	Beatles
beaute	beauté
beauty	Beauty
bird	Bird
bornee	bornée
breve	brève
brisee	brisée
butee	butée
cachee	cachée
cachees	cachées
calculee	calculée
calibree	calibrée
capacite	capacité
capacites	capacités
caractere	caractère
caracterisant	caractérisant
caracterisations	caractérisations
caracteristique	caractéristique
categorie	catégorie
categories	catégories
categorisent	catégorisent
celine	Céline
classees	classées
claude	Claude
cloture	clôture
coherence	cohérence
coherent	cohérent
coherente	cohérente
coherentes	cohérentes
coincidence	coïncidence
coincident	coïncident
colton	Colton
commandee	commandée
communaute	communauté
compatibilite	compatibilité
competence	compétence
competences	compétences
competente	compétente
complementaire	complémentaire
complementaires	complémentaires
complete	complète
completee	complétée
completes	complètes
completion	complétion
complexite	complexité
composee	composée
comprehensibilite	compréhensibilité
comprehension	compréhension
compressibilite	compressibilité
concrete	concrète
concue	conçue
condensee	condensée
confirmees	confirmées
consequence	conséquence
conservee	conservée
considerer	considérer
continuite	continuité
controle	contrôle
controlee	contrôlée
controlees	contrôlées
controles	contrôles
cooperation	coopération
correlations	corrélations
corrigee	corrigée
corrigees	corrigées
createur	créateur
creatif	créatif
creation	création
creativite	créativité
credibilite	crédibilité
credible	crédible
cree	crée
creent	créent
creer	créer
creons	créons
critere	critère
criteres	critères
curiosite	curiosité
debit	débit
debut	début
decide	décide
decisif	décisif
decision	décision
decisions	décisions
declaree	déclarée
declarer	déclarer
declares	déclarés
declenche	déclenche
decoupage	découpage
decouverte	découverte
decouvertes	découvertes
decouvre	découvre
decouvrir	découvrir
decrire	décrire
decrit	décrit
decrite	décrite
decrivent	décrivent
dedoubler	dédoubler
deductibles	déductibles
deduire	déduire
deduit	déduit
defaut	défaut
defini	défini
definie	définie
definir	définir
definit	définit
definition	définition
definitions	définitions
definitivement	définitivement
deformation	déformation
deformer	déformer
degre	degré
degres	degrés
deja	déjà
deja-vu	déjà-vu
dejoue	déjoue
dejouer	déjouer
delai	délai
delicat	délicat
delimitee	délimitée
demandee	demandée
democratie	démocratie
democratique	démocratique
democratiser	démocratiser
demonstration	démonstration
demonstrative	démonstrative
demontre	démontre
densite	densité
depart	départ
depasse	dépasse
depassent	dépassent
depend	dépend
dependance	dépendance
dependent	dépendent
deplace	déplace
deplacee	déplacée
deplacement	déplacement
deplacer	déplacer
depossession	dépossession
derivee	dérivée
derivent	dérivent
desagrege	désagrège
desapprouver	désapprouver
desenchantement	désenchantement
desengageant	désengageant
designation	désignation
designe	désigne
desir	désir
desirable	désirable
desirables	désirables
desire	désire
desirer	désirer
destinees	destinées
detache	détache
detail	détail
detaillees	détaillées
details	détails
detecteur	détecteur
determinee	déterminée
detour	détour
detourner	détourner
detruiraient	détruiraient
detruire	détruire
detruisent	détruisent
detruit	détruit
developpe	développe
developpement	développement
devier	dévier
differe	diffère
difference	différence
differences	différences
differente	différente
differentes	différentes
differents	différents
difficulte	difficulté
difficultes	difficultés
dirigee	dirigée
disponibilite	disponibilité
distinguee	distinguée
distribuee	distribuée
diversite	diversité
donnee	donnée
donnees	données
duree	durée
durees	durées
durete	dureté
ecart	écart
ecarts	écarts
echantillonnage	échantillonnage
echantillonne	échantillonné
echantillonner	échantillonner
echappe	échappe
echapper	échapper
echec	échec
echecs	échecs
echelle	échelle
echelles	échelles
echo	écho
echoue	échoué
echouent	échouent
echouer	échouer
eclaire	éclaire
eclat	éclat
eclats	éclats
ecologie	écologie
economie	économie
economique	économique
ecoute	écoute
ecoutes	écoutes
ecrire	écrire
ecriture	écriture
effectuees	effectuées
efficacite	efficacité
egalement	également
elargie	élargie
element	élément
elements	éléments
eliminant	éliminant
elimine	élimine
elle-meme	elle-mémé
eloignee	éloignée
emerge	émerge
emergence	émergence
emergentes	émergentes
emerger	émerger
emergeraient	émergeraient
emet	émet
emission	émission
emmene	emmène
empeche	empêche
empecher	empêcher
empruntee	empruntée
energie	énergie
engagee	engagée
engendree	engendrée
engendrees	engendrées
enigmatique	énigmatique
enigme	énigme
enquete	enquête
enqueter	enquêter
enregistrees	enregistrées
entiere	entière
entierement	entièrement
entrainee	entraînée
enumerer	énumérer
epistemologique	épistémologique
epreuve	épreuve
eprouve	éprouve
eprouvee	éprouvée
eprouver	éprouver
epuise	épuisé
epuisee	épuisée
epuisement	épuisement
epuiser	épuiser
equilibre	équilibre
equivalence	équivalence
equivalente	équivalente
esthetique	esthétique
etabli	établi
etablir	établir
etablit	établit
etaient	étaient
etant	étant
etape	étape
etapes	étapes
etat	état
ete	été
etendue	étendue
ethologie	éthologie
etiquette	étiquette
etonnant	étonnant
etrangere	étrangère
etrangete	étrangeté
etre	être
etroit	étroit
etroite	étroite
etudier	étudier
evaluation	évaluation
evaluations	évaluations
evalue	évalue
evaluee	évaluée
evaluer	évaluer
evenement	évènement
evenements	événements
evidence	évidence
evidences	évidences
evident	évident
evidentes	évidentes
evite	évite
eviter	éviter
